Vendas* do mês ,"R$ 15.074,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2026,Modalidade,03/01/2026,Modalidade,05/01/2026,Modalidade,06/01/2026,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade,Dia,Modalidade
"R$ 100,00",Recebimento Crediario,,,"R$ 107,65",Recebimento Crediario,"R$ 78,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 243,98",Crediário,,,"R$ 265,50",Crédito Av Sicredi,"R$ 89,99",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 119,99",Crediário,,,"R$ 204,65",Recebimento Crediario,"R$ 193,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R$ 299,98",Crediário,,,"R$ 71,99",Débito Sicredi,"R$ 169,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 70,00",Recebimento Crediario,"R$ 29,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 225,50",Recebimento Crediario,"R$ 119,98",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 252,50",Recebimento Crediario,"R$ 279,98",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 50,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 106,00",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 305,97",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 206,50",Recebimento Crediario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 135,00",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 100,00",Dinheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 162,88",Pix Sicredi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"129,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 334,98",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 119,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"R$ 195,99",Crediário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
